start_ms,end_ms,duration_ms
38010,38204,194
40963,41490,527
42488,43106,618
45850,46718,868
54534,54784,250
55902,56017,115
66120,66929,809
78163,78179,16
78458,79374,916
89979,90362,383
94324,94575,251
98681,98749,68
102684,102947,263
119027,119060,33
123299,123452,153
127734,127818,84
129473,129756,283
131055,131383,328
139324,139521,197
143264,143707,443
154446,154462,16
